depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
4,Button,...,btnFluids1,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68326,4415,586,4437,608
4,Button,...,btnFluids0,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68330,4415,561,4437,583
4,Button,...,btnFriction,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68334,4413,492,4435,514
4,Text,Torque on Bit:,lblTorqueOnEnd,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68340,4103,774,4257,790
4,Button,...,btnSpeed,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68342,4415,327,4437,349
4,Text,Weight on Bit :,lblAxialForceOnEnd,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68344,4103,749,4257,765
4,Pane,,txtLiquidFlowRateInStringRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68388,4264,617,4330,641
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68392,4264,617,4327,637
4,Pane,,txtLiquidFlowRateInStringPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68394,4344,617,4410,641
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68398,4344,617,4407,637
4,Text,Liquid Flow Rate:,lblLiquidFlowRateInString,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68400,4103,619,4257,635
4,Pane,,txtFluidDensityInAnnulusRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68402,4264,587,4330,611
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68406,4264,587,4327,607
4,Pane,,txtFluidDensityInAnnulusPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68408,4344,587,4410,611
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68412,4344,587,4407,607
4,Text,Fluid Density in Annulus:,lblFluidDensityInAnnulus,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68414,4102,589,4256,605
4,Pane,,txtFluidDensityInStringRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68416,4264,562,4330,586
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68420,4264,562,4327,582
4,Pane,,txtFluidDensityInStringPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68422,4344,562,4410,586
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68426,4344,562,4407,582
4,Text,Fluid Density in Pipe:,lblFluidDensityInString,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68428,4100,564,4254,580
4,Pane,,txtProjCoFRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68430,4264,518,4330,542
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68434,4264,518,4327,538
4,Pane,,txtProjCoFPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68436,4344,518,4410,542
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68440,4344,518,4407,538
4,Pane,,txtFrictionFactorsRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68442,4264,493,4330,517
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68446,4264,493,4327,513
4,Pane,,txtFrictionFactorsPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68448,4344,493,4410,517
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68452,4344,493,4407,513
4,Text,Project Friction Factors :,lblProjCoF,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68454,4100,520,4254,536
4,Text,Friction Factors:,lblFrictionFactors,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68456,4102,495,4256,511
4,Pane,,txtReelBackTensionRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68586,4264,463,4330,487
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,1445538,4264,463,4327,483
4,Pane,,txtReelBackTensionPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68588,4344,463,4410,487
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,397292,4344,463,4407,483
4,Text,Travelling Block Weight:,lblReelBackTension,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68590,4103,465,4257,481
4,Pane,,txtStripperFrictionRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68458,4264,438,4330,462
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68462,4264,438,4327,458
4,Pane,,txtStripperFrictionPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68464,4344,438,4410,462
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68468,4344,438,4407,458
4,Text,Stripper Friction:,lblStripperFriction,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68470,4103,440,4257,456
4,Pane,,txtSpeedRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68514,4264,328,4330,352
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68518,4264,328,4327,348
4,Pane,,txtSpeedPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68520,4344,328,4410,352
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68524,4344,328,4407,348
4,Text,Pipe Speed:,lblTrippingSpeed,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68526,4103,330,4257,346
4,Pane,(POOH),pnlUnits,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68528,4442,322,4504,820
5,Text,psi,lblUnitsWellheadPressure,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68554,4445,360,4469,374
5,Text,rpm,lblUnitsRotation,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68532,4445,799,4473,813
5,Text,ft·lbf,lblUnitsTorque,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68534,4445,774,4477,788
5,Text,lbf,lblUnitsAxialForce,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68536,4445,749,4467,763
5,Text,gal/min,lblUnitsLiqRateString,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68544,4445,619,4495,633
5,Text,lb/gal,lblUnitsFluidDenAnn,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68546,4445,589,4485,603
5,Text,lb/gal,lblUnitsFluidDenString,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68548,4445,564,4485,578
5,Text,lbf,lblUnitsReelBackTension,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68592,4445,465,4467,479
5,Text,lbf,lblUnitsStripperFriction,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68552,4445,440,4467,454
5,Text,ft/min,lblUnitsSpeed,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68558,4445,330,4485,344
4,CheckBox,Use same data for RIH & POOH,chkSameRIHandPOOH,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68560,4381,269,4586,287
3,Pane,Top :,pnlCalcButtons,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68562,4602,416,4800,802
4,Button,Calculation Tools,btnCalculationTools,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68564,4611,704,4791,732
4,Button,Force Regions,btnForceRegions,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68566,4611,665,4791,693
4,Button,Maximum Overpull,btnMaximumPickupForce,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68568,4611,632,4791,660
4,Button,Maximum Set-Down Force,btnMaximumSetDownForce,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68570,4611,599,4791,627
4,Button,Forces on Pipe,btnForceOnToolAndCable,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68572,4611,566,4791,594
4,Button,Calculate Maximum Depth,btnLockup,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68574,4611,461,4791,489
4,Button,Run at Depth,btnRunAtDepth,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68576,4611,527,4791,555
4,Button,Trip In and Out,btnTripInAndOut,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68578,4611,494,4791,522
4,Button,Report Generator...,btnReportGenerator,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68580,4611,422,4791,450
2,TabItem, Configuration ,,,,,4061,231,4157,252
2,TabItem,   Calculate   ,,,,,4157,231,4253,252
2,TabItem,      Q & A        ,,,,,4253,231,4349,252
1,ToolBar,ToolStrip1,ToolStrip1,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68156,4059,198,4813,229
2,Thumb,Grip,,,,,4061,198,4064,229
2,Button,Exit,,,,,4066,199,4094,227
2,Separator,,,,,,4094,198,4100,229
2,Button,,,,,,4100,199,4128,227
2,Button,Open Project,,,,,4128,199,4156,227
2,Button,,,,,,4156,199,4184,227
2,Separator,,,,,,4184,198,4190,229
2,Button,,,,,,4190,199,4218,227
2,Separator,,,,,,4218,198,4224,229
2,Button,,,,,,4224,199,4252,227
2,Button,Tool String,,,,,4252,199,4280,227
2,Button,Well Geometry,,,,,4280,199,4308,227
2,Text,                    ,,,,,4308,199,4375,227
2,Button,Job Monitor,,,,,4375,199,4403,227
2,Text,Send to CTES Live,,,,,4403,199,4502,227
2,Text,          ,,,,,4775,199,4812,227
2,Button,,,,,,4747,199,4775,227
1,MenuBar,MenuStrip1,MenuStrip1,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,131330,4059,174,4813,198
2,MenuItem,File,,,,,4065,176,4105,196
3,MenuItem,New Project...,,,,,0,0,0,0
3,MenuItem,Open...,,,,,0,0,0,0
3,MenuItem,Save,,,,,0,0,0,0
3,MenuItem,Save As...,,,,,0,0,0,0
3,MenuItem,Delete,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Import Project...,,,,,0,0,0,0
