WindowText,AutomationId,ControlType,ClassName,DepthPath
JP String,TabPage1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/JP String
,SplitContainer1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/JP String/SplitContainer1
,2626368,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/JP String/SplitContainer1/2626368
Label3,2429818,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/JP String/SplitContainer1/Label3
JP String,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/JP String
Well,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/Well
Fluids,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/Fluids
Options,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1/Options
,Panel3,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/Panel3
,cmdViewMin,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/Panel3/cmdViewMin
